Drug Name,Drug Class,Hint 1 (Contraindications),Hint 2 (Adverse effects),Hint 3 (What symptom(s) and disease(s) drug is used to treat),"Hint 4 (what is the effect of this drug? (NOT MOA, but physical impact))",Hint 5 (what makes this drug unique from others in its class?),Hint 6 (MOA)
Epoetin alfa (EPO),Colony Stimulating Factors,Avoid this drug in uncontrolled hypertension.,"It can cause hypertension, thrombosis, and pure red cell aplasia rarely.",It is used for anemia from chronic kidney disease or chemotherapy.,It raises red blood cell production and improves oxygen-carrying capacity.,It reduces the need for blood transfusions in selected patients.,It activates erythropoietin receptors on erythroid progenitors to increase red blood cell production.
Edoxaban,,Avoid this drug in active major bleeding and in severe kidney dysfunction when dosing is unsafe.,It can cause bleeding and anemia.,It is used for atrial fibrillation stroke prevention and treatment of venous thromboembolism.,It reduces clot formation without requiring routine INR monitoring.,It has reduced effectiveness in atrial fibrillation when kidney clearance is very high.,It directly inhibits factor Xa and decreases thrombin generation.
Prasugrel,P2Y12 Inhibitors,Avoid this drug in patients with a history of stroke or TIA.,"It can cause serious bleeding, especially in older or low-body-weight patients.",It is used after acute coronary syndrome managed with coronary intervention.,It strongly reduces platelet clumping after stent placement.,It is generally more potent than clopidogrel but has more bleeding risk.,It irreversibly blocks the platelet P2Y12 ADP receptor and prevents platelet activation.
Eltrombopag,,Use caution in patients with liver disease or high clotting risk.,"It can cause liver toxicity, thrombosis, headache, and nausea.",It is used to raise platelets in immune thrombocytopenia and some marrow failure states.,It increases platelet production from megakaryocytes.,It is an oral platelet-raising drug that can bind dietary cations and lose absorption.,It activates the thrombopoietin receptor to stimulate megakaryocyte growth and platelet production.
Romiplostim,,Use caution in patients with high thrombotic risk or marrow fibrosis concerns.,"It can cause headache, joint pain, thrombosis, and increased marrow reticulin.",It is used to raise platelets in chronic immune thrombocytopenia.,It increases platelet production and lowers bleeding risk.,It is given by injection rather than as an oral tablet.,It activates the thrombopoietin receptor and stimulates megakaryocyte proliferation and platelet production.
Sulfasalazine,Disease-Modifying Antirheumatic Drugs (DMARDs),Avoid this drug in patients with sulfa allergy or salicylate allergy.,"It can cause GI upset, rash, hemolysis in G6PD deficiency, and reversible infertility in men.",It is used for rheumatoid arthritis and inflammatory bowel disease.,It decreases joint and bowel inflammation over time.,It contains a sulfa component and can turn skin or urine orange-yellow.,"It is converted in the colon to sulfapyridine and 5-ASA, which reduce inflammatory mediators."
Adalimumab,Biologic DMARDs,Avoid this drug in patients with active serious infection.,"It can cause serious infections, reactivation of tuberculosis, and injection-site reactions.","It is used for rheumatoid arthritis, inflammatory bowel disease, psoriasis, and ankylosing spondylitis.",It reduces inflammatory cytokine activity and improves autoimmune symptoms.,It is a fully human antibody that patients inject under the skin.,It binds TNF-alpha and prevents TNF-alpha from activating its receptors.
Etanercept,Biologic DMARDs,Avoid this drug in patients with active serious infection or sepsis.,"It can cause infections, injection-site reactions, and worsening heart failure.","It is used for rheumatoid arthritis, psoriasis, and ankylosing spondylitis.",It lowers TNF-driven inflammation in joints and skin.,It is a soluble receptor fusion protein rather than a classic antibody.,It acts as a decoy TNF receptor that binds TNF-alpha and reduces TNF signaling.
Rituximab,Biologic DMARDs,Avoid this drug in patients with active severe infection.,"It can cause infusion reactions, hepatitis B reactivation, and progressive multifocal leukoencephalopathy rarely.","It is used for B-cell lymphomas, rheumatoid arthritis, and some autoimmune diseases.",It depletes B cells and lowers antibody-driven immune activity.,It targets CD20-positive B cells but does not directly target plasma cells.,It is a monoclonal antibody that binds CD20 and causes B-cell destruction.
Cyclosporine,Calcineurin Inhibitors,Avoid this drug in uncontrolled hypertension or severe kidney dysfunction when possible.,"It can cause nephrotoxicity, hypertension, hypertrichosis, and gum overgrowth.",It is used to prevent transplant rejection and treat autoimmune diseases.,It suppresses T-cell activation and lowers immune attack on transplanted tissue.,It is known for hairy growth and gingival hyperplasia.,"It binds cyclophilin and inhibits calcineurin, decreasing IL-2 transcription."
Tacrolimus,Calcineurin Inhibitors,Use caution in patients with kidney dysfunction or uncontrolled diabetes.,"It can cause nephrotoxicity, neurotoxicity, hyperglycemia, and hypertension.",It is used to prevent transplant rejection and treat some inflammatory skin diseases.,It suppresses T-cell activation and protects transplanted organs from rejection.,It is more associated with diabetes and neurotoxicity than gum overgrowth.,"It binds FKBP and inhibits calcineurin, decreasing IL-2 transcription."
Mycophenolate Mofetil,Antimetabolite Immunosuppressants,Avoid this drug in pregnancy because it can cause birth defects.,"It can cause GI upset, leukopenia, infections, and teratogenicity.",It is used to prevent transplant rejection and treat autoimmune disease.,It reduces lymphocyte proliferation and weakens immune rejection responses.,It selectively affects lymphocytes because they rely heavily on de novo guanine synthesis.,It inhibits inosine monophosphate dehydrogenase and decreases guanine nucleotide synthesis.
Azathioprine,Antimetabolite Immunosuppressants,Use caution with allopurinol because toxicity can increase unless the dose is reduced.,"It can cause myelosuppression, pancreatitis, infections, and liver toxicity.",It is used for transplant rejection prevention and autoimmune diseases such as inflammatory bowel disease.,It decreases lymphocyte proliferation and suppresses immune activity.,It is converted to 6-mercaptopurine in the body.,It is metabolized to purine analogs that inhibit DNA synthesis in rapidly dividing immune cells.
Sirolimus (Rapamycin),mTOR Inhibitors,Avoid this drug around poor wound healing when possible.,"It can cause hyperlipidemia, thrombocytopenia, leukopenia, and delayed wound healing.",It is used to prevent transplant rejection and in some drug-eluting stents.,It blocks T-cell proliferation after activation has already begun.,It is less nephrotoxic than calcineurin inhibitors but delays wound healing.,"It binds FKBP and inhibits mTOR, blocking IL-2 driven T-cell proliferation."
Methylprednisolone,Systemic Corticosteroids,Use caution in patients with systemic fungal infections or uncontrolled infection.,"It can cause hyperglycemia, mood changes, osteoporosis, adrenal suppression, and infection risk.","It is used for severe inflammation, autoimmune flares, asthma exacerbations, and allergic reactions.","It rapidly reduces swelling, immune activation, and inflammatory symptoms.",It is often used as high-dose pulse therapy for severe inflammatory flares.,It activates intracellular glucocorticoid receptors and changes gene transcription to suppress inflammation.
Allopurinol,Uric Acid Lowering Agents,Use caution with azathioprine or mercaptopurine because dangerous myelosuppression can occur.,"It can cause rash, GI upset, liver injury, and severe hypersensitivity reactions.",It is used to prevent gout attacks and tumor lysis-related uric acid buildup.,It lowers uric acid levels over time.,It can worsen gout if started during an untreated acute flare.,It inhibits xanthine oxidase and decreases conversion of hypoxanthine and xanthine to uric acid.
Probenecid,Uric Acid Lowering Agents,Avoid this drug in patients with uric acid kidney stones or poor kidney function.,"It can cause kidney stones, rash, GI upset, and gout flares when first started.",It is used to prevent gout in patients who underexcrete uric acid.,It increases uric acid loss in urine and lowers blood uric acid.,It can raise penicillin levels by reducing renal secretion.,It inhibits uric acid reabsorption in the proximal tubule by blocking URAT1.
Colchicine,Acute Gout Treatment,"Use caution in severe kidney or liver disease, especially with strong CYP3A4 inhibitors.","It can cause diarrhea, abdominal pain, myopathy, and bone marrow suppression.",It is used for acute gout flares and prevention of gout flares when urate therapy begins.,It reduces neutrophil-driven inflammation in painful gouty joints.,It commonly causes GI symptoms before more serious toxicity appears.,"It binds tubulin and inhibits microtubule polymerization, reducing neutrophil migration and activity."
Indomethacin,Acute Gout Treatment,"Avoid this drug in active peptic ulcer disease, severe kidney disease, or late pregnancy.","It can cause GI bleeding, kidney injury, headache, and fluid retention.","It is used for acute gout, patent ductus arteriosus closure, and inflammatory pain.","It reduces pain, fever, swelling, and prostaglandin-mediated inflammation.",It is a strong NSAID often tested for closing a PDA.,It inhibits cyclooxygenase enzymes and decreases prostaglandin synthesis.
Tofacitinib,JAK Inhibitors,Avoid this drug in serious active infection.,"It can cause infections, shingles, blood clots, cytopenias, and increased lipids.","It is used for rheumatoid arthritis, psoriatic arthritis, ulcerative colitis, and related inflammatory diseases.",It lowers cytokine signaling and reduces autoimmune inflammation.,It is an oral targeted immunosuppressant rather than an injectable biologic.,It inhibits Janus kinases and blocks JAK-STAT cytokine signaling.
Anakinra,,Avoid this drug in patients with active serious infection.,"It can cause injection-site reactions, neutropenia, and infections.",It is used for rheumatoid arthritis and autoinflammatory conditions driven by IL-1.,It reduces fever and inflammation caused by IL-1 signaling.,It is a recombinant IL-1 receptor antagonist.,It blocks the IL-1 receptor and prevents IL-1 mediated inflammatory signaling.
Tocilizumab,,Avoid this drug in active serious infection.,"It can cause infections, liver enzyme elevation, neutropenia, and GI perforation.","It is used for rheumatoid arthritis, giant cell arteritis, and cytokine release syndrome.",It reduces systemic inflammation and can lower fever and acute-phase responses.,It can make CRP fall quickly because IL-6 drives hepatic acute-phase proteins.,It blocks the IL-6 receptor and reduces IL-6 mediated inflammatory signaling.
Febuxostat,Xanthine Oxidase Inhibitors,Use caution in patients with major cardiovascular disease.,"It can cause liver enzyme elevation, rash, gout flares, and possible cardiovascular risk.",It is used to lower uric acid in chronic gout.,It decreases uric acid production and helps prevent future gout attacks.,"It is not a purine analog, unlike allopurinol.",It inhibits xanthine oxidase and decreases uric acid formation.
Baclofen,Central Acting Muscle Relaxants,Use caution in patients with severe kidney disease because sedation can worsen.,"It can cause sleepiness, weakness, dizziness, and withdrawal symptoms if stopped suddenly.","It is used for muscle spasticity from spinal cord injury, multiple sclerosis, or other upper motor neuron problems.",It relaxes stiff muscles and reduces painful spasms.,It can be given intrathecally for severe spasticity.,It activates GABA-B receptors in the spinal cord and reduces excitatory neurotransmitter release.
Cyclobenzaprine,Central Acting Muscle Relaxants,"Avoid this drug in recent myocardial infarction, arrhythmias, or MAOI use.","It can cause sedation, dry mouth, dizziness, and anticholinergic effects.",It is used short term for acute painful muscle spasms.,It reduces muscle spasm and improves comfort during acute musculoskeletal pain.,It is structurally related to tricyclic antidepressants.,It acts centrally in the brainstem to reduce tonic somatic motor activity.
Vecuronium,Neuromuscular Blocking Agents,Avoid this drug when airway support and ventilation are not available.,It can cause prolonged paralysis and rarely histamine-related effects.,It is used to produce skeletal muscle relaxation during surgery or mechanical ventilation.,It paralyzes skeletal muscles without causing loss of consciousness or pain relief.,It has minimal cardiovascular effects compared with some other paralytics.,It competitively blocks nicotinic acetylcholine receptors at the neuromuscular junction.
Alendronate,Bisphosphonates,Avoid this drug in esophageal disorders or inability to sit upright after taking it.,"It can cause esophagitis, GI upset, osteonecrosis of the jaw, and atypical femur fractures rarely.",It is used to treat or prevent osteoporosis and Paget disease of bone.,It strengthens bone by decreasing bone breakdown.,It is taken orally with water and requires remaining upright afterward.,It binds bone mineral and inhibits osteoclast-mediated bone resorption.
Zoledronic acid,Bisphosphonates,Avoid this drug in severe kidney impairment.,"It can cause flu-like symptoms, kidney injury, hypocalcemia, and jaw osteonecrosis rarely.","It is used for osteoporosis, Paget disease, hypercalcemia of malignancy, and bone metastases.",It decreases bone resorption and can lower high calcium levels.,It is given by IV infusion and is more potent than many oral options.,It binds bone mineral and inhibits osteoclast-mediated bone resorption.
Calcium Carbonate,Calcium and Vitamin D,Use caution in patients with hypercalcemia or kidney stones.,"It can cause constipation, bloating, and high calcium levels.","It is used as a calcium supplement, phosphate binder, and antacid.",It increases available calcium and can neutralize stomach acid.,It needs stomach acid for best absorption as a supplement.,It provides elemental calcium and binds phosphate in the gut while neutralizing gastric acid.
Calcitriol,Calcium and Vitamin D,Avoid this drug in hypercalcemia or vitamin D toxicity.,"It can cause high calcium, high phosphate, kidney stones, and weakness.","It is used for hypocalcemia, chronic kidney disease-related mineral problems, and hypoparathyroidism.",It raises calcium and phosphate levels in the blood.,It is the active form of vitamin D and does not need kidney activation.,It activates vitamin D receptors and increases intestinal calcium and phosphate absorption.
Denosumab,RANKL Inhibitors,Correct low calcium before starting this drug.,"It can cause hypocalcemia, infections, eczema, and jaw osteonecrosis rarely.",It is used for osteoporosis and prevention of skeletal events from bone metastases.,It decreases bone resorption and increases bone density.,It is a monoclonal antibody rather than a bisphosphonate.,"It binds RANKL and prevents osteoclast formation, function, and survival."
Methocarbamol,Central Acting Muscle Relaxants,Use caution in patients who need to stay alert or avoid sedating medicines.,"It can cause drowsiness, dizziness, nausea, and low blood pressure.",It is used for acute painful muscle spasms.,It relaxes muscles mainly by reducing central nervous system activity.,It is less anticholinergic than cyclobenzaprine.,It acts centrally to depress polysynaptic reflexes and reduce skeletal muscle spasm.
Tretinoin,Topical Retinoids,Avoid this drug in pregnancy when used systemically and avoid excess sun exposure when used topically.,"It can cause skin irritation, peeling, photosensitivity, and birth defects if used systemically in pregnancy.","It is used for acne, photoaging, and acute promyelocytic leukemia in oral form.",It normalizes skin cell turnover and helps unplug follicles.,It is also used to force malignant promyelocytes to mature in APL.,It activates retinoic acid receptors and changes gene transcription controlling cell differentiation.
Adapalene,Topical Retinoids,"Avoid applying this drug to sunburned, broken, or irritated skin.","It can cause dryness, redness, peeling, and photosensitivity.",It is used topically for acne vulgaris.,It reduces clogged pores and improves inflammatory acne lesions.,It is often better tolerated and more photostable than older topical retinoids.,It binds retinoic acid receptors and normalizes follicular epithelial cell differentiation.
Isotretinoin,Isotretinoin,Avoid this drug in pregnancy because it is highly teratogenic.,"It can cause dry skin, cheilitis, hypertriglyceridemia, liver enzyme elevation, and birth defects.",It is used for severe nodular acne that has not responded to other treatments.,It shrinks sebaceous glands and greatly reduces oil production.,It requires strict pregnancy prevention monitoring programs.,"It activates retinoic acid receptors and reduces sebaceous gland size, sebum production, and follicular keratinization."
Clotrimazole,Azole Antifungals,Avoid this drug if there is a prior serious allergy to azole antifungals.,"It can cause local burning, irritation, itching, and redness.","It is used for tinea infections, cutaneous candidiasis, and vulvovaginal candidiasis.",It stops fungal growth on skin or mucosal surfaces.,It is commonly used topically or as a vaginal product.,It inhibits fungal 14-alpha-demethylase and decreases ergosterol synthesis in fungal cell membranes.
Ketoconazole,Azole Antifungals,Avoid oral use in significant liver disease when safer alternatives are available.,"It can cause liver toxicity, gynecomastia, adrenal suppression, and drug interactions.","It is used topically for dandruff and fungal skin infections, with oral use now limited.",It reduces fungal growth and can lower steroid hormone production.,It is notable for endocrine side effects due to steroid synthesis inhibition.,It inhibits fungal 14-alpha-demethylase and also inhibits human steroid synthesis enzymes at higher exposure.
Terbinafine,Allylamine Antifungals,Avoid oral use in active or chronic liver disease.,"It can cause liver injury, taste disturbance, rash, and GI upset.","It is used for dermatophyte infections, especially toenail fungus.",It kills dermatophytes by disrupting fungal membrane sterol production.,It is especially effective for onychomycosis compared with many topical options.,It inhibits fungal squalene epoxidase and decreases ergosterol synthesis.
Hydrocortisone,Low to High Potency Steroids,"Avoid applying this drug to untreated bacterial, fungal, or viral skin infections unless infection is treated.","It can cause skin thinning, striae, acne, and adrenal suppression with heavy use.","It is used for mild eczema, dermatitis, itching, and adrenal replacement when given systemically.","It reduces redness, itching, swelling, and immune irritation.",It is one of the lower-potency topical steroid options.,It activates glucocorticoid receptors and changes gene transcription to suppress inflammatory mediators.
Triamcinolone,Low to High Potency Steroids,Avoid using this drug on untreated skin infections or large areas for long periods.,"It can cause skin atrophy, striae, telangiectasias, and adrenal suppression with overuse.","It is used for inflammatory skin diseases, allergic conditions, and joint inflammation depending on formulation.","It reduces inflammation, itching, and swelling more strongly than mild topical steroids.",It is a medium-potency steroid commonly used for body plaques rather than face folds.,It activates glucocorticoid receptors and decreases transcription of inflammatory cytokines and mediators.
Clobetasol,Low to High Potency Steroids,"Avoid using this drug on the face, groin, or skin folds unless specifically directed.","It can cause severe skin thinning, striae, adrenal suppression, and rebound flares if overused.",It is used for severe inflammatory skin plaques such as psoriasis or severe eczema.,It powerfully reduces local skin inflammation and itching.,It is a super-high-potency topical steroid.,It activates glucocorticoid receptors and strongly suppresses inflammatory gene transcription.
Tacrolimus (Topical),Topical Calcineurin Inhibitors,Avoid using this drug on infected skin until the infection is treated.,"It can cause burning, itching, and increased local infection risk.","It is used for atopic dermatitis, especially in sensitive areas where steroids are risky.",It reduces skin inflammation without causing steroid-related skin thinning.,It is useful on the face and eyelids because it is not a topical steroid.,It inhibits calcineurin in T cells and decreases inflammatory cytokine transcription.
Pimecrolimus,Topical Calcineurin Inhibitors,Avoid using this drug on active viral or bacterial skin infections.,"It can cause application-site burning, irritation, and increased infection risk.",It is used for mild to moderate atopic dermatitis.,It reduces eczema inflammation without thinning the skin like steroids can.,It is a nonsteroid cream often used for sensitive skin areas.,It inhibits calcineurin and decreases T-cell cytokine production in the skin.
Mupirocin,Topical Antibiotics,Avoid this drug if there is a prior serious allergy to it.,"It can cause local burning, stinging, itching, and rash.",It is used for impetigo and nasal decolonization of Staphylococcus aureus.,It kills susceptible skin bacteria at the site of application.,It is especially associated with MRSA nasal decolonization.,It inhibits bacterial isoleucyl-tRNA synthetase and blocks protein synthesis.
Clindamycin (Topical),Topical Antibiotics,Use caution in patients with a history of antibiotic-associated colitis.,"It can cause skin dryness, irritation, and rarely C. difficile-associated diarrhea.",It is used topically for acne vulgaris.,It decreases acne-causing bacteria and inflammation in hair follicles.,It is often paired with benzoyl peroxide to reduce resistance.,It binds the 50S ribosomal subunit and inhibits bacterial protein synthesis.
Ustekinumab,IL-12/23 Inhibitors,Avoid this drug in patients with active serious infection.,"It can cause infections, headache, fatigue, and injection-site reactions.","It is used for plaque psoriasis, psoriatic arthritis, Crohn disease, and ulcerative colitis.",It reduces inflammatory T-cell signaling in skin and gut disease.,It targets the shared p40 subunit used by two interleukins.,It binds the p40 subunit of IL-12 and IL-23 and blocks their inflammatory signaling.
Latanoprost,Prostaglandin Analogs,Use caution in patients with active eye inflammation or risk of macular edema.,"It can cause iris darkening, eyelash growth, eye redness, and periocular skin darkening.",It is used to lower eye pressure in open-angle glaucoma or ocular hypertension.,It increases fluid drainage from the eye and lowers intraocular pressure.,It is often dosed once nightly and can permanently darken the iris.,It activates prostaglandin F receptors and increases uveoscleral outflow of aqueous humor.
Bimatoprost,Prostaglandin Analogs,Use caution in patients with active eye inflammation or macular edema risk.,"It can cause eyelash growth, iris darkening, eye redness, and itchy eyes.","It is used for open-angle glaucoma, ocular hypertension, and eyelash hypotrichosis.",It lowers eye pressure and can make eyelashes longer and thicker.,It is also marketed for eyelash growth.,It activates prostaglandin receptors and increases aqueous humor outflow.
Betaxolol,Beta-Blockers,"Use caution in asthma, COPD, bradycardia, or heart block.","It can cause eye irritation, slow heart rate, bronchospasm, and low blood pressure.",It is used as an eye drop for open-angle glaucoma or ocular hypertension.,It lowers intraocular pressure by reducing aqueous humor production.,It is relatively beta-1 selective compared with nonselective ophthalmic beta blockers.,It blocks beta-1 receptors in the ciliary body and decreases aqueous humor formation.
Dorzolamide,Carbonic Anhydrase Inhibitors,Avoid this drug in patients with severe sulfonamide allergy if risk is considered high.,"It can cause bitter taste, eye burning, redness, and rarely sulfa-type reactions.",It is used as an eye drop for open-angle glaucoma or ocular hypertension.,It lowers eye pressure by reducing fluid production in the eye.,"It is a topical carbonic anhydrase inhibitor, so it avoids many systemic effects.",It inhibits carbonic anhydrase in the ciliary processes and decreases aqueous humor secretion.
Brinzolamide,Carbonic Anhydrase Inhibitors,Use caution in patients with severe sulfonamide allergy or severe kidney disease.,"It can cause blurred vision, bitter taste, eye discomfort, and redness.",It is used to lower intraocular pressure in open-angle glaucoma or ocular hypertension.,It decreases aqueous humor production and lowers eye pressure.,It is often used as an ophthalmic suspension.,It inhibits carbonic anhydrase in the ciliary body and reduces aqueous humor secretion.
Ciprofloxacin otic,Otic Antibiotics,Avoid this drug if there is a serious fluoroquinolone allergy.,"It can cause ear discomfort, itching, and a bitter taste if it drains into the throat.",It is used for otitis externa and some ear infections with tympanostomy tubes.,It kills susceptible bacteria in the ear canal.,It is safe for many situations where the eardrum is not intact.,"It inhibits bacterial DNA gyrase and topoisomerase IV, blocking DNA replication."
Polymyxin B/Neomycin/Hydrocortisone,Otic Antibiotics,Avoid this drug if the tympanic membrane is perforated because neomycin can be ototoxic.,"It can cause local irritation, contact allergy, and hearing toxicity if it reaches the inner ear.",It is used for otitis externa when the eardrum is intact.,It kills ear canal bacteria and reduces inflammation and itching.,It combines two antibiotics with a steroid in one ear drop.,"It disrupts bacterial membranes, inhibits bacterial protein synthesis, and activates glucocorticoid receptors."
Oxymetazoline,Nasal Decongestants,Use caution in severe hypertension or coronary artery disease.,It can cause rebound congestion if used for more than a few days.,It is used for short-term relief of nasal congestion.,It shrinks swollen nasal blood vessels and opens the nasal passages.,It should generally be limited to three days to avoid rhinitis medicamentosa.,It stimulates alpha-adrenergic receptors in nasal blood vessels and causes vasoconstriction.
Lithium Carbonate,Lithium,"Avoid this drug in severe kidney disease, severe dehydration, or pregnancy when possible.","It can cause tremor, hypothyroidism, nephrogenic diabetes insipidus, weight gain, and toxicity.","It is used for bipolar disorder, especially mania and maintenance therapy.",It stabilizes mood and lowers the risk of manic relapse.,It has a narrow therapeutic window and requires blood level monitoring.,It inhibits inositol monophosphatase and affects second messenger signaling in neurons.
Levodopa/Carbidopa,Dopamine Precursors,Use caution in psychosis or narrow-angle glaucoma.,"It can cause dyskinesias, nausea, hallucinations, and wearing-off effects.",It is used to treat motor symptoms of Parkinson disease.,It increases brain dopamine activity and improves bradykinesia and rigidity.,The added peripheral blocker reduces nausea and increases delivery to the brain.,"Levodopa is converted to dopamine in the brain, while carbidopa inhibits peripheral DOPA decarboxylase."
Pramipexole,Dopamine Agonists,Use caution in patients with psychosis or severe sleepiness.,"It can cause sleep attacks, hallucinations, nausea, edema, and impulse-control problems.",It is used for Parkinson disease and restless legs syndrome.,It directly stimulates dopamine signaling and improves motor symptoms.,"It is associated with gambling, hypersexuality, and other impulse behaviors.","It directly activates dopamine receptors, especially D2 and D3 receptors."
Ropinirole,Dopamine Agonists,"Use caution in patients with psychosis, severe sleepiness, or impulse-control disorders.","It can cause nausea, dizziness, hallucinations, sleep attacks, and compulsive behaviors.",It is used for Parkinson disease and restless legs syndrome.,It improves dopamine-related motor symptoms without needing conversion to dopamine.,It is another dopamine agonist linked to sudden sleep episodes.,"It directly stimulates dopamine receptors, especially D2-type receptors."
Selegiline,MAO-B Inhibitors,Avoid this drug with serotonergic drugs or meperidine because serious toxicity can occur.,"It can cause insomnia, nausea, orthostatic hypotension, and serotonin syndrome with interacting drugs.",It is used as an adjunct treatment for Parkinson disease.,It increases dopamine availability in the brain and may reduce wearing-off symptoms.,It has amphetamine-like metabolites that can contribute to insomnia.,It selectively inhibits MAO-B at usual doses and decreases dopamine breakdown.
Rasagiline,MAO-B Inhibitors,"Avoid this drug with serotonergic drugs, meperidine, or certain sympathomimetics.","It can cause headache, joint pain, nausea, and hypertensive or serotonin toxicity with interactions.",It is used for Parkinson disease as monotherapy or add-on therapy.,It increases brain dopamine tone and improves motor symptoms.,It lacks the amphetamine-like metabolites associated with selegiline.,It selectively inhibits MAO-B and reduces dopamine metabolism in the brain.
Phenobarbital,GABA Enhancers,"Use caution in respiratory depression, severe liver disease, or porphyria.","It can cause sedation, respiratory depression, cognitive slowing, and dependence.","It is used for seizures, including neonatal seizures, and sometimes for status epilepticus.",It raises the seizure threshold and strongly depresses CNS activity.,It is a long-acting barbiturate and a strong inducer of hepatic enzymes.,It enhances GABA-A receptor activity by increasing chloride channel opening duration.
Gabapentin,GABA Enhancers,Use caution in kidney disease because dose adjustment is needed.,"It can cause dizziness, sleepiness, ataxia, and peripheral edema.","It is used for neuropathic pain, postherpetic neuralgia, and focal seizures.",It calms overactive nerve signaling and reduces nerve pain.,It does not directly bind GABA receptors despite its name.,It binds alpha-2-delta subunits of voltage-gated calcium channels and decreases excitatory neurotransmitter release.
Amitriptyline,Tricyclic Antidepressants (TCAs),Avoid this drug in recent myocardial infarction or high suicide risk when possible.,"It can cause sedation, dry mouth, constipation, urinary retention, orthostatic hypotension, and arrhythmias.","It is used for depression, neuropathic pain, migraine prevention, and insomnia.",It increases monoamine signaling but also causes strong anticholinergic sedation.,It is one of the more sedating and anticholinergic tricyclics.,"It inhibits reuptake of norepinephrine and serotonin and also blocks muscarinic, histamine, and alpha-1 receptors."
Nortriptyline,Tricyclic Antidepressants (TCAs),Use caution in cardiac conduction disease or recent myocardial infarction.,"It can cause dry mouth, constipation, urinary retention, orthostatic hypotension, and arrhythmias.","It is used for depression, neuropathic pain, and migraine prevention.",It increases mood-related monoamine signaling and reduces chronic nerve pain.,It is generally less sedating and less anticholinergic than amitriptyline.,"It inhibits norepinephrine and serotonin reuptake and also blocks muscarinic, histamine, and alpha-1 receptors."
Phenelzine,Monoamine Oxidase Inhibitors (MAOIs),Avoid tyramine-rich foods and many serotonergic or sympathomimetic drugs while taking this drug.,"It can cause hypertensive crisis, serotonin syndrome, orthostatic hypotension, weight gain, and sexual dysfunction.",It is used for atypical depression or treatment-resistant depression.,It increases several monoamines and can improve mood and anxiety symptoms.,It requires strict dietary precautions because of tyramine sensitivity.,"It irreversibly inhibits MAO-A and MAO-B, increasing norepinephrine, serotonin, and dopamine."
Clozapine,Atypical Antipsychotics,Avoid this drug in patients who cannot comply with required blood monitoring.,"It can cause agranulocytosis, seizures, myocarditis, weight gain, diabetes, and heavy salivation.",It is used for treatment-resistant schizophrenia and to reduce suicidal behavior in schizophrenia.,It improves psychosis with relatively low risk of movement side effects.,It requires absolute neutrophil count monitoring because of agranulocytosis risk.,"It blocks dopamine D2 receptors weakly and serotonin 5-HT2A receptors more strongly, with multiple other receptor effects."
Clonazepam,Benzodiazepines,Avoid this drug with opioids or severe respiratory depression when possible.,"It can cause sedation, impaired coordination, dependence, and respiratory depression.",It is used for panic disorder and certain seizure disorders.,It calms CNS activity and reduces anxiety or seizure tendency.,It has a relatively long duration compared with many benzodiazepines.,It enhances GABA-A receptor activity by increasing the frequency of chloride channel opening.
Valproic Acid,Anticonvulsants as Mood Stabilizers,Avoid this drug in pregnancy and significant liver disease.,"It can cause neural tube defects, liver toxicity, pancreatitis, weight gain, tremor, and thrombocytopenia.","It is used for seizures, bipolar disorder, and migraine prevention.",It stabilizes neuronal firing and helps prevent seizures and mood episodes.,It is broad-spectrum but highly teratogenic.,It increases GABA levels and also blocks voltage-gated sodium channels.
Levetiracetam,Other Antiepileptics,Use caution in severe kidney disease because dosing must be adjusted.,"It can cause sleepiness, dizziness, irritability, and mood or behavior changes.","It is used for focal seizures, generalized tonic-clonic seizures, and myoclonic seizures.",It reduces seizure activity with few drug interactions.,It is known for behavioral side effects rather than major liver enzyme interactions.,It binds synaptic vesicle protein SV2A and modulates neurotransmitter release.
Topiramate,Other Antiepileptics,Avoid this drug in pregnancy when possible and use caution in kidney stone risk.,"It can cause cognitive slowing, weight loss, kidney stones, paresthesias, and metabolic acidosis.","It is used for seizures, migraine prevention, and sometimes weight loss support.",It reduces neuronal excitability and can reduce appetite.,It is remembered for causing word-finding difficulty and weight loss.,"It blocks voltage-gated sodium channels, enhances GABA activity, inhibits AMPA/kainate receptors, and weakly inhibits carbonic anhydrase."
Memantine,NMDA Antagonists,Use caution in severe kidney disease because dose adjustment may be needed.,"It can cause dizziness, confusion, headache, and constipation.",It is used for moderate to severe Alzheimer disease.,It may slow cognitive and functional decline in dementia.,It targets glutamate signaling rather than acetylcholine breakdown.,It blocks NMDA receptors and reduces pathologic glutamate-mediated excitotoxicity.
Methylphenidate,Stimulants,"Avoid this drug in severe anxiety, tics, or recent MAOI use.","It can cause insomnia, appetite loss, increased heart rate, increased blood pressure, and growth suppression.",It is used for ADHD and narcolepsy.,"It increases alertness, focus, and impulse control.",It mainly works by blocking reuptake rather than directly releasing monoamines.,It inhibits dopamine and norepinephrine reuptake transporters in the CNS.
Amphetamine/Dextroamphetamine,Stimulants,Avoid this drug with recent MAOI use or in severe cardiovascular disease.,"It can cause insomnia, appetite loss, hypertension, tachycardia, anxiety, and misuse dependence.",It is used for ADHD and narcolepsy.,"It increases wakefulness, attention, and executive control.",It promotes monoamine release more directly than methylphenidate.,It increases synaptic norepinephrine and dopamine by promoting release and reversing monoamine transporters.
